iter	Passed	Remaining
0	2	2016
1	3	1752
2	5	1663
3	6	1617
4	7	1590
5	9	1571
6	10	1493
7	11	1436
8	12	1385
9	13	1347
10	14	1315
11	15	1287
12	16	1267
13	17	1248
14	18	1231
15	19	1198
16	20	1167
17	20	1140
18	21	1117
19	22	1096
20	23	1077
21	23	1058
22	24	1042
23	25	1028
24	26	1014
25	26	1001
26	27	989
27	28	978
28	28	966
29	29	952
30	30	940
31	30	928
32	31	917
33	31	907
34	32	897
35	33	888
36	33	878
37	34	868
38	34	861
39	35	854
40	36	847
41	36	840
42	37	835
43	38	828
44	38	822
45	39	816
46	39	810
47	40	803
48	41	798
49	41	794
50	42	789
51	43	784
52	43	779
53	44	774
54	44	769
55	45	766
56	46	761
57	46	757
58	47	753
59	47	749
60	48	745
61	49	742
62	49	738
63	50	736
64	50	733
65	51	729
66	52	726
67	52	721
68	53	719
69	53	716
70	54	713
71	55	710
72	55	707
73	56	704
74	56	702
75	57	699
76	58	696
77	58	693
78	59	690
79	59	688
80	60	686
81	61	684
82	61	682
83	62	679
84	62	677
85	63	675
86	64	672
87	64	670
88	65	668
89	65	666
90	66	664
91	67	662
92	67	661
93	68	658
94	68	656
95	69	655
96	70	654
97	70	651
98	71	649
99	71	647
100	72	645
101	73	644
102	73	642
103	74	641
104	75	639
105	75	638
106	76	637
107	76	635
108	77	634
109	78	632
110	78	630
111	79	629
112	79	627
113	80	626
114	81	625
115	81	624
116	82	622
117	83	621
118	83	619
119	84	617
120	84	615
121	85	614
122	85	612
123	86	612
124	87	610
125	87	609
126	88	608
127	89	606
128	89	605
129	90	604
130	90	602
131	91	601
132	92	600
133	92	598
134	93	597
135	93	595
136	94	594
137	94	593
138	95	591
139	96	590
140	96	589
141	97	588
142	97	587
143	98	585
144	99	584
145	99	582
146	100	581
147	100	580
148	101	579
149	102	578
150	102	577
151	103	576
152	103	575
153	104	573
154	105	572
155	105	571
156	106	570
157	106	569
158	107	568
159	108	567
160	108	566
161	109	565
162	109	564
163	110	563
164	111	562
165	111	561
166	112	560
167	112	559
168	113	558
169	114	557
170	114	556
171	115	555
172	115	554
173	116	553
174	117	552
175	117	551
176	118	550
177	118	549
178	119	548
179	120	547
180	120	546
181	121	545
182	121	544
183	122	543
184	123	542
185	123	541
186	124	540
187	124	539
188	125	538
189	126	537
190	126	537
191	127	536
192	128	535
193	128	534
194	129	533
195	129	533
196	130	532
197	131	531
198	131	530
199	132	529
200	132	528
201	133	527
202	134	526
203	134	526
204	135	525
205	136	524
206	136	523
207	137	522
208	137	521
209	138	520
210	138	519
211	139	518
212	140	517
213	140	517
214	141	516
215	142	515
216	142	514
217	143	513
218	143	512
219	144	512
220	145	511
221	145	510
222	146	509
223	146	508
224	147	507
225	148	506
226	148	506
227	149	505
228	149	504
229	150	503
230	150	502
231	151	501
232	152	500
233	152	500
234	153	499
235	153	498
236	154	497
237	155	496
238	155	495
239	156	494
240	156	494
241	157	493
242	158	492
243	158	491
244	159	490
245	159	490
246	160	489
247	161	488
248	161	487
249	162	486
250	162	486
251	163	485
252	164	484
253	164	483
254	165	482
255	165	482
256	166	481
257	167	481
258	167	480
259	168	479
260	169	478
261	169	478
262	170	477
263	170	476
264	171	475
265	172	475
266	172	474
267	173	473
268	174	473
269	174	472
270	175	471
271	175	470
272	176	470
273	177	469
274	177	468
275	178	467
276	178	467
277	179	466
278	180	465
279	180	464
280	181	464
281	181	463
282	182	462
283	183	461
284	183	460
285	184	460
286	184	459
287	185	458
288	186	458
289	186	457
290	187	456
291	188	455
292	188	455
293	189	454
294	189	453
295	190	453
296	191	452
297	191	451
298	192	450
299	192	449
300	193	449
301	193	448
302	194	447
303	195	446
304	195	445
305	196	445
306	196	444
307	197	443
308	198	443
309	198	442
310	199	441
311	199	440
312	200	440
313	201	439
314	201	438
315	202	438
316	202	437
